default,default response
"""Anyway, sorry, go on,"" I said as I blushed.","""The snake wasn't supposed to kill me, it was just supposed to keep me there until You-Know-Who arrived. You got us out of there just in time, he arrived in the bedroom just as you disapparated."""
"""The snake wasn't supposed to kill me, it was just supposed to keep me there until You-Know-Who arrived. You got us out of there just in time, he arrived in the bedroom just as you disapparated.""","I blinked again. ""Fucking hell. Really?"""
"I blinked again. ""Fucking hell. Really?""","""Yeah. You saved the day, again."""
"""Don't you ever disappear on me like that again, Harry James,"" I sobbed.","Harry held me tighter, his arms sure and warm and real even in the spiraling mess of my fear. ""I won't. You have my word, Lucy Lu."""
"""You love it, don't deny it,"" Harry replied.","""Your hair's a new shape every day. It's thrilling."""
"""Your hair's a new shape every day. It's thrilling.""","Harry grinned. ""Happy to hear it."""
"""Oh, Harry, you lovesick little sap, how pathetic,"" I teased. ","Harry laughed. ""Oi, don't give me that, I know that's why you held one of my jumpers hostage for most of fifth year."""
"Harry exhaled, resting a hand on my knee. ""Merlin, and the rest of us had no idea. Did you ever look at your Ministry files, by chance?""","I shook my head. ""No, but... I'm thinking I should, sooner than later. You confronted your past last night, it's time for me to confront mine."""
"""I take it you talked to him already?"" she asked.","I nodded. ""He seems okay now."""
"I nodded. ""He seems okay now.""","""Yeah, thanks to you,"" Hermione said."
"Hermione glanced at me, clear curiosity on her face. ""I never did hear about what exactly happened after Sirius... you know. Ron and Ginny mentioned you chasing Harry in the direction of the lifts, but they didn't know what happened after that.""","""Harry was possessed, I didn't know what to do, so I went and grabbed his face in my panic, and — I don't even know. I was possessed too, and then I wasn't, and then I was, and then I wasn't, and in the end, I guess You-Know-Who just got frustrated and left us alone. I've never understood what happened or why, but that's why I tried to do that again this time. It worked once before, in a manner of speaking. I — I just wanted to take it away from Harry, if I could. It didn't work this time, obviously, but it was worth trying, I guess."""
"""How does the Horcrux compare?""","""It doesn't. The Horcrux is like wearing a weight. Being possessed by You-Know-Who is like... someone dragging a knife of that same weight through your body, flaying you open."""
"""It doesn't. The Horcrux is like wearing a weight. Being possessed by You-Know-Who is like... someone dragging a knife of that same weight through your body, flaying you open.""","Hermione shuddered. ""That sounds awful. How on earth does Harry just carry on, after something like that happens?"""
"""Let me know if you find anything notable.""","""Of course."""
"""May I?"" he asked, glancing at me as he reached for the poster reading HAVE YOU SEEN ME? in shaky handwriting. ","I nodded. ""Go ahead."""
"I pushed myself up to a sitting position and nodded, dragging my hands down my face. ""Harry's right, I'm not, and I know he's not either. Godric's Hollow was a lot.""","""Yes, but what I've read is quite relevant to — """
"""Harry, do you want to practice with my wand? I can get properly dressed, then we can practice dueling or something,"" I said.","Harry nodded. ""That would be great."""
"He glanced at me, not letting go of my hand. ""Lucy, is this — ?""","""Where I was bitten, yeah,"" I said with a nod."
"""What?"" Hermione asked from my other side.","""After being in Godric's Hollow, it just — I don't know, it felt right to come back to the place where it all started for me,"" I whispered."
"""After being in Godric's Hollow, it just — I don't know, it felt right to come back to the place where it all started for me,"" I whispered.","Hermione dropped my hand and tentatively stepped forward, looking around the site. ""How did you remember it clearly enough to be able to apparate here? I can't imagine you've been back since it happened."""
"""I always thought it happened closer to home for you,"" Hermione said.","I shook my head. ""Wrong place wrong time. Far from home."""
"""Would you — I don't know — would you ever want to go back? Home? I don't know if the Order is using your house right now, but...""","""I don't know either, but I'd be alright with it, if we need something from there,"" I replied with a shrug."
"""Do you want me to tackle you?"" Harry asked, an almost-amused grin on his face.","""No, it's okay..."""
"""Don't laugh if I make a fool of myself?"" I replied shyly.","Harry shook his head. ""Never. Not with this. I understand. Do what you need to do."""
"Harry grabbed me by the arm to stop me from falling into the snow. ""It's okay to stop. It's okay to not know every detail. Trust me.""","I shook my head, shaking my arm free, pressing forward more desperately than before. ""No, I need to know, I need to know."""
"I shook my head, shaking my arm free, pressing forward more desperately than before. ""No, I need to know, I need to know.""","""Lucy — """
"""Lucy — ""","""I need to know!"" I cried."
"Hermione was there too, I heard her running footsteps crunching across the snow. ""What's the matter?""","""She did something with her emotional magic and saw — what happened here,"" Harry explained."
"""Are you sure, Lu?"" I asked.","She nodded. ""Now that the initial wave of overwhelming emotion has passed, I'd like to carry on as normal for as long as I can before the next wave comes and all of the fear of the unknown catches up. Dueling with you would be a productive use of our time until then."""
"""No need to go easy on me,"" I said teasingly, trying to make light of the situation, trying to light the competitive gleam in her eyes so it would burn away a bit of the sorrow lingering there.","Instead, though, Lucy deflated. ""Sorry, Harry, I shouldn't be distracted when I'm trying to help you."""
"""Would a Shield Charm do the trick?"" I asked.","Lucy shrugged. ""Let's find out. Be ready to jump out of the way, though."""
"Surely enough, Hermione poked her head out of the tent just a couple of seconds later. ""What's that?""","""Not sure. I think I could find a way to use it, though."""
"""Are you sure about keeping watch, Lu?"" I asked gently. ","Her face was pale in the glow of the light from the tent. ""No, I'm not so sure anymore."""
"Her face was pale in the glow of the light from the tent. ""No, I'm not so sure anymore.""","I lowered myself down next to her. ""I'll keep watch, you go rest."""
"I lowered myself down next to her. ""I'll keep watch, you go rest.""","""But what if — I don't love the idea of leaving you out here alone. It's not that I don't trust you, I do, it's just — """
"""It was you?"" I managed finally, once I was fully clothed, though the clothes did very little to help with the cold.","Ron blinked. ""Well... yeah."""
"Ron blinked. ""Well... yeah.""","""You cast that doe?"" I asked."
"""Long story. I've been looking for you for hours. It's a big forest, isn't it? And I was just thinking I'd have to kip under a tree and wait for morning when I saw that deer coming and you following.""","""You didn't see anyone else?"""
"""Anything there?"" he asked.","""No."""
"""So how did the sword get in that pool?""","""Whoever cast the patronus must have put it there."""
"""Whoever cast the patronus must have put it there.""","""You reckon it's the real one?"""
"""You reckon it's the real one?""","I glanced down at the sword, then at the twitching locket, and nodded. ""The Horcrux tried to kill me the second I touched it. One way to find out, though, isn't there? There's a flat rock over there, follow me."""
"""No, you should do it,"" I said, looking up at Ron.","Ron blinked. ""Me? Why?"""
"""Just trust me, please. The same way I thought I was supposed to follow the doe, I think it's supposed to be you who destroys it. I'm going to open it, and you stab it. Straightaway, okay? Because whatever's in there will put up a fight. The bit of Riddle in the diary tried to kill me.""","Ron's eyes were wide with fear. ""How are you going to open it?"""
"Ron's eyes were wide with fear. ""How are you going to open it?""","""I'm going to ask it to open, using Parseltongue."""
"""I'm going to ask it to open, using Parseltongue.""","""No! No, don't open it! I'm serious!"""
"""No! No, don't open it! I'm serious!""","""Why not? Let's get rid of the damn thing, it's been months — """
"""Why not? Let's get rid of the damn thing, it's been months — ""","""I can't, Harry, I'm serious — you do it — """
"""I can't, Harry, I'm serious — you do it — ""","""But why?"""
"""But why?""","Ron backed away from the locket, shaking his head. ""Because that thing's bad for me! I can't handle it! I'm not making excuses, Harry, for what I was like, but it affects me worse than it affected you and Hermione and Lucy, it made me think stuff — stuff I was thinking anyway, but it made everything worse, I can't explain it, and then I'd take it off and I'd get my head on straight again, and then I'd have to put the fucking thing back on — I can't do it, Harry!"""
"""Tell me when,"" he said, voice shaking as he lifted the sword.","I nodded. ""You can do this. On three. One... two... three... open."""
"""I have seen your heart, and it is mine.""","""Don't listen to it, Ron, stab it!"" I shouted."
"""I have seen your dreams, Ronald Weasley, and I have seen your fears. All you desire is possible, but all that you dread is also possible.""","""STAB IT!"" I shouted again, but Ron paid me no heed, instead staring into Tom's eyes as the locket continued to speak."
"""STAB IT!"" I shouted again, but Ron paid me no heed, instead staring into Tom's eyes as the locket continued to speak.","""Least loved, always, by the mother who craved a daughter... least loved, now, by the girl who prefers your friends... second best, always, eternally overshadowed..."""
"""Your mother confessed that she would have preferred me as a son,"" Riddle-Me informed Ron with a sneer.","Riddle-Lucy laughed as she turned to me. ""Why, of course! Who wouldn't prefer you? Everyone wants you, especially me. But then again, you knew that, didn't you?"""
"""You've made up for it tonight, I reckon. Saving my life. Getting the sword. Finishing off the Horcrux.""","""That makes me sound a lot cooler than I was,"" Ron said in a small voice."
"""That makes me sound a lot cooler than I was,"" Ron said in a small voice.","""Shit like that always sounds cooler than it really was, I've been trying to tell you for years."""
"Lucy stirred first, pushing herself to a sitting position and rubbing her eyes with her hands. ""Harry? What's wrong? Are you okay?""","""It's okay! Everything's fine! More than fine, really! I'm great! There's someone here!"""
"""No,"" Lucy said simply. ","Hermione whirled on me then and marched forward, hand held out. ""Give me Lucy's."""
"Hermione whirled on me then and marched forward, hand held out. ""Give me Lucy's.""","I shook my head. ""Protego!"" "
"""Hermione, calm — ""","""I will not calm down! Give me a wand! One of you! Now!"""
"""I came running after you! I called you! I begged you to come back!"" Hermione yelled.","""I know. Hermione, I'm sorry, I'm really — """
"""Well, what else can I say?"" Ron fired back.","Hermione rolled her eyes. ""Oh, I don't know! Rack your brains, Ron, that should only take a couple of seconds — """
"""I knew you weren't dead! Harry's all over the Prophet, all over the radio, they're looking for you everywhere, all these rumors and mental stories, I knew I'd hear straight off if you were dead, you don't know what it's been like — ""","""What it's been like for you?"" Hermione screeched. Then she was so overcome by fury that she could find nothing else to say, and Ron took advantage of her silence to fit in a couple words of explanation."
"""What it's been like for you?"" Hermione screeched. Then she was so overcome by fury that she could find nothing else to say, and Ron took advantage of her silence to fit in a couple words of explanation.","""I wanted to come back the minute I'd disapparated, but I walked straight into a gang of Snatchers, Hermione, and I couldn't go anywhere!"" Ron said loudly."
"""I wanted to come back the minute I'd disapparated, but I walked straight into a gang of Snatchers, Hermione, and I couldn't go anywhere!"" Ron said loudly.","""A gang of what?"" I asked."
"Hermione's voice was thick with sarcasm when she spoke again. ""Gosh, what a gripping story! You must have been simply terrified. Meanwhile we went to Godric's Hollow and, let's think, what happened there? Oh yes, You-Know-Who's snake turned up, it nearly killed the three of us, and then You-Know-Who himself arrived and missed us by about a second.""","""What?"" Ron asked, eyes wide."
"""What?"" Ron asked, eyes wide.","""But imagine losing fingernails! That really puts our sufferings into perspective, doesn't it?"""
"""But imagine losing fingernails! That really puts our sufferings into perspective, doesn't it?""","""Hermione, Ron just saved my life,"" I said softly."
"""This,"" Ron said, wisely pulling the Deluminator from his pocket and offering no further information.","This forced Hermione to look at him, and she was too intrigued to look angry for a moment. ""The Deluminator? How?"""
"""And what exactly did I say?""","""My name. 'Ron.' And you said something about a wand, I think?"""
"""So I took it out, and it didn't seem different or anything, but I was sure I'd heard you. So I clicked it. And the light went out in my room, but another light appeared right outside the window. It was a ball of light, kind of pulsing, and bluish, like that light you get around a Portkey. I knew this was it, so I grabbed my stuff and packed it, then I put on my rucksack and went out into the garden. The little ball of light was hovering there, waiting for me, and when I came out it bobbed along a bit and I followed it behind the shed and then it... well, it went inside me.""","Hermione blinked. ""What?"""
"""No, actually, we disapparated under the invisibility cloak as an extra precaution, and we left really early, because I thought I heard somebody blundering around,"" Hermione said.","""Well, I stayed there for a long time, because I kept hoping you'd appear. But after a couple of days, I knew I must have missed you, so I clicked the Deluminator again, the blue light came out and went inside me, and I disapparated and arrived here in these woods. I still couldn't see you, so I just had to hope one of you would show yourselves in the end — and Harry did. Well, I saw the doe first, obviously."""
"""Well, I stayed there for a long time, because I kept hoping you'd appear. But after a couple of days, I knew I must have missed you, so I clicked the Deluminator again, the blue light came out and went inside me, and I disapparated and arrived here in these woods. I still couldn't see you, so I just had to hope one of you would show yourselves in the end — and Harry did. Well, I saw the doe first, obviously.""","Hermione's brow furrowed. ""You saw the what?"" "
"""And then Ron stabbed the locket with the sword,"" I said.","""And it just... went? Just like that?"" Hermione asked."
"""I still haven't ruled it out,"" Hermione declared without turning around.","Ron cracked the smallest grin, scratching the back of his head sheepishly. He glanced at Lucy then. ""You've been rather quiet. Are you alright?"""
"""Thanks for saving Harry from his own idiocy,"" Lucy said.","Ron chuckled. ""Yes, well, you deserve a break from it every now and then. Happy to help."""
"Lucy shook her head. ""You were wearing the Horcrux more often because of me.""","""Oh, don't tell me you've been blaming yourself."""
"""Oh, don't tell me you've been blaming yourself.""","""Not necessarily, but..."""
"""Not necessarily, but...""","""Oh, Lucy, no, I'm sorry — """
"""I wanted to cheer Lucy up earlier, and I was at such a loss, but you've already made her laugh,"" I said.","Ron frowned and looked at Lucy. ""Why were you in need of cheering up? What's wrong?"""
"""No, I didn't,"" I replied sheepishly. ","Lucy hummed, her disappointment evident, and leaned closer to me, examining the mark on my throat. She reached for her wand and tapped my neck, and with a murmured ""Episkey,"" the last of the pain dissipated."
"Lucy hummed, her disappointment evident, and leaned closer to me, examining the mark on my throat. She reached for her wand and tapped my neck, and with a murmured ""Episkey,"" the last of the pain dissipated.","""Thanks,"" I said, offering her a smile."
"""Thanks,"" I said, offering her a smile.","""Of course."""
"""You, Harry, and Hermione all emerged from the locket and started saying... it doesn't matter. Point is, you started snogging Harry, and then Hermione apparently wanted to participate as well, and — ""","Lucy tossed her head back and laughed. ""You've got to be joking!"""
"Lucy tossed her head back and laughed. ""You've got to be joking!""","""No, I saw it too, unfortunately,"" I said. "
"Lucy all but glued herself to my side, wrapping both of her arms around my left one, her thigh pressed up against mine, her head resting on my shoulder. ""You know, I'd have to agree. Next time, just stay, will you? Both of you?""","""Of course,"" I said in unison with Ron, and the three of us exchanged a smile before looking up to the stars, just a couple of which were visible through the clouds once again."
"""Oh, hi Cass! I was just writing to Mum. Did you have a nice morning walk?"" he asked, setting down his quill and leaning back against the couch cushions, stretching out.","I flopped down on the couch next to him and let him drape an arm around my shoulders and pull me close. ""It's a beautiful day for a Quidditch match. Not a cloud in sight, only a bit of a breeze, a nice cool one that should keep the sun from getting too warm, even if it gets a bit too bright."""
"I flopped down on the couch next to him and let him drape an arm around my shoulders and pull me close. ""It's a beautiful day for a Quidditch match. Not a cloud in sight, only a bit of a breeze, a nice cool one that should keep the sun from getting too warm, even if it gets a bit too bright.""","""Too bright? The sun? Never!"" James declared. "
"""Too bright? The sun? Never!"" James declared. ","""Well, I suppose it makes sense that you'd think that,"" I said with fond resignation. "
"""Well, I suppose it makes sense that you'd think that,"" I said with fond resignation. ","""Why's that?"""
"""Why's that?""","""You just... are the sun. Except you're never too warm or too bright,"" I added in a hurry, realizing belatedly that it didn't sound like the compliment I intended for it to be. "
"""You just... are the sun. Except you're never too warm or too bright,"" I added in a hurry, realizing belatedly that it didn't sound like the compliment I intended for it to be. ","""Are you sure?"""
"""Well, yes, you're a perfectly normal human temperature and, last I checked, staring at you didn't burn anyone's eyes to crisps.""","""Ah, yeah, well, if that were the case, half the school would be blind by now,"" James said with the casually cocky tone that always made me want to slap him. "
"""Ah, yeah, well, if that were the case, half the school would be blind by now,"" James said with the casually cocky tone that always made me want to slap him. ","I settled for rolling my eyes and pushing myself up from the couch. ""Right. I should go start getting ready — """
"I laughed too, pulling away and wiping my tears. ""Right. Good to know. Sorry, I really don't know why I'm crying.""","""You don't need to apologize, Cass. I'd always rather have you cry with me than without me. Wait, that didn't come out right, obviously I'd rather have you not cry at all and I never want to be the reason — """
"""You don't need to apologize, Cass. I'd always rather have you cry with me than without me. Wait, that didn't come out right, obviously I'd rather have you not cry at all and I never want to be the reason — ""","""It's okay, James, I know what you mean,"" I said, laughing more even as fresh tears, embarrassed ones, surged to my eyes."
"""It's okay, James, I know what you mean,"" I said, laughing more even as fresh tears, embarrassed ones, surged to my eyes.","""Why don't we talk after the match, yeah?"" James asked."
"""I'll come check on you as soon as I'm done! If they don't fit, help yourself to anything else you find in my trunk that you want to wear!"" James replied brightly.","I nodded and smiled. ""Thanks, James."""
"I nodded and smiled. ""Thanks, James.""","With that, I hurried away before he could see just how fake my smile was. His Gryffindor overalls were famous — infamous, more like. I opened the door to the boys' dorm and slipped in silently, not wanting to disturb anyone, but Sirius shouting ""AH! CASS!"" ruined any chance of that happening."
"With that, I hurried away before he could see just how fake my smile was. His Gryffindor overalls were famous — infamous, more like. I opened the door to the boys' dorm and slipped in silently, not wanting to disturb anyone, but Sirius shouting ""AH! CASS!"" ruined any chance of that happening.","""Merlin, Sirius,"" Peter groaned, rolling over in bed and pulling his blankets up higher."
"""Merlin, Sirius,"" Peter groaned, rolling over in bed and pulling his blankets up higher.","I winced. ""Sorry, Peter, I was just trying to sneak in and try on the Gryffindor overalls to appease James."""
"I winced. ""Sorry, Peter, I was just trying to sneak in and try on the Gryffindor overalls to appease James.""","""Why on earth would you do that?"" Remus asked from where he was stretched across his own bed."
"Sirius frowned. ""Why don't you want the Gryffindor overalls to fit? They're lovely.""","""They're not really my style,"" I remarked lightly as I strode over to James's trunk."
"""I can't believe I'm humoring this,"" I muttered with a shake of my head.","""Get on with it,"" Sirius said, grinning already."
"""FUCK!"" I shouted as I tugged the straps up and studied myself in the mirror. They fit perfectly.","""Everything alright in there?"" Remus called. "
"""Oh, but they do fit,"" Remus commented, hiding his smile behind his hand.","Sirius nodded as he smiled at me in earnest. ""They're perfect. You simply must wear those to the match."""
"James gasped, face lighting up with utter delight. ""BLOODY HELL, CASS, THEY FIT SO PERFECTLY, YOU LOOK AMAZING, I'M SO GLAD YOU'RE WEARING THOSE TO THE MATCH!"" He then rushed over and scooped me up into a famous James Potter spinny hug, and my resolve crumbled to ash.","""I'm glad you're excited,"" I managed with a surprisingly-real smile as he set me down. "
"""I'm glad you're excited,"" I managed with a surprisingly-real smile as he set me down. ","James nodded with such intensity he looked like a bobblehead. ""I'll be able to spot you in the crowd so easily!"""
"James nodded with such intensity he looked like a bobblehead. ""I'll be able to spot you in the crowd so easily!""","""Yeah, she's going to be hard to miss,"" Remus said in a low voice, snickering. "
"Sirius clapped James on the shoulder and flashed me a bright smile before departing the dormitory, whistling ""Killer Queen"" by Queen as he left. ","Remus sighed. ""He's an infuriatingly good whistler. He doesn't think those nicknames are seriously going to catch on, does he?"""
"Lily's voice was muffled by her hands, but I understood her question perfectly well. ""Are those the James Potter overalls?"" ","I nodded. ""Yes. Yes they are. The boys more or less forced me to wear these."""
"""Yes, I'm in your mind, I'd certainly hope so. Anyway, go eat breakfast, Willie — ""","""I will use an Unforgivable on you and get sent to Azkaban for life,"" I interrupted aloud."
"I sighed. ""No. It's funny. I'm just feeling a little extra prickly today.""","Carter offered me a sympathetic look. ""Understandable."""
"Carter offered me a sympathetic look. ""Understandable.""","""Are you going to the match?"""
"""Are you going to the match?""","""I wasn't planning on it, but since you're wearing that — """
"""What party?"" I asked.","Carter snorted. ""It'll either be a 'Hooray, Gryffindor lost, let's get sloshed with the Hufflepuffs and Ravenclaws' party or a 'Damn, Gryffindor won, let's get sloshed with the Hufflepuffs and Ravenclaws' party."""
"Carter snorted. ""It'll either be a 'Hooray, Gryffindor lost, let's get sloshed with the Hufflepuffs and Ravenclaws' party or a 'Damn, Gryffindor won, let's get sloshed with the Hufflepuffs and Ravenclaws' party.""","I wrinkled my nose. ""You all really hate us, don't you?"""
"""Catch you later, asshole,"" I said, even more affectionately.","""See you later, swot,"" he replied before proceeding in the direction of the Owlery."
"""Go ahead and say 'we.' I reckon Gryffindor will attribute their win to you when the Hufflepuff players are too busy laughing at your overalls to play the match properly,"" Peter piped up, a rare teasing grin on his face.","I grinned back at him. ""We can hope."""
"I grinned back at him. ""We can hope.""","After breakfast, Peter and I bid farewell to Remus and started making our way down to the Pitch with the rest of the school. Sirius caught up with us just before we reached the stadium, refusing to answer any questions about what his ""private business"" entailed. That wasn't unusual, Sirius Black loved his secrets, so I didn't wonder too much about it as we made our way through the crowd in search of the best seats."
"I nodded, smiling as convincingly as I could. ""Yeah, of course!""","Sirius leaned closer. ""Are you crying?"""
"Sirius leaned closer. ""Are you crying?""","""No, the sun's just bright,"" I lied."
"""Bloody hell, mate, you fancy her or something?"" Sirius asked, half-turning to face whoever it was. ","""That's my Spring Ball date!"" the boy announced proudly."
"""That's my Spring Ball date!"" the boy announced proudly.","Sirius looked him up and down. ""That explains why you're the only Hufflepuff in this entire section. Where's your house pride?"""
"Sirius looked him up and down. ""That explains why you're the only Hufflepuff in this entire section. Where's your house pride?""","""I'd much rather see Susan win! Gryffindor has the best shot of winning the Quidditch Cup now that the Muggle-born's off the team!"""
"""I'd much rather see Susan win! Gryffindor has the best shot of winning the Quidditch Cup now that the Muggle-born's off the team!""","""What did you just say?"" Sirius demanded as he stepped up a level so he was face-to-face with the boy. Face-to-face being a relative term, Sirius was a couple inches taller than him."
"""What did you just say?"" Sirius demanded as he stepped up a level so he was face-to-face with the boy. Face-to-face being a relative term, Sirius was a couple inches taller than him.","At that point, I turned fully around and grabbed Sirius by the forearm. ""It's okay — """
"But the boy recovered himself with remarkable speed and looked down at me rather haughtily. ""What, do you think I'm afraid of him? Because I'm not.""","""You should be,"" Sirius snarled as he strained against my grip on his wrist. "
"""You should be,"" Sirius snarled as he strained against my grip on his wrist. ","I tugged on his arm even harder. ""Sirius, we both know I've dealt with far worse than comments like that, it's alright — """
"""YOU DON'T GET TO SAY THAT WORD!"" Sirius roared.","The boy stumbled back, clutching his now-broken glasses. ""What the hell? I wasn't going to actually call her a — """
"Sirius tilted his head at me, his confusion apparent. ""Isn't it obvious? I love you.""","""Well, yes, I love you too, but — """
"""Well, yes, I love you too, but — ""","""Cass, you didn't deserve that. Just because he didn't actually call you a slur doesn't mean he wasn't still wildly out of line."""
"""Cass, you didn't deserve that. Just because he didn't actually call you a slur doesn't mean he wasn't still wildly out of line.""","I reached for his hand to inspect it. ""Is your hand okay?"""
"I reached for his hand to inspect it. ""Is your hand okay?""","""Yeah, Cass, I promise."""
"""I'm sure she watched with the Hufflepuffs rather than with us,"" I replied with a shrug.","Marlene nodded. ""Right. That's fair."""
"""You wore the overalls!"" James said gleefully.","I laughed. ""Of course! Congratulations on the match!"""
"I lowered myself onto his bed gingerly, facing him. ""Yeah, we did.""","""Was it an exciting match?"""
"""Was it an exciting match?""","""You could say that,"" I replied."
"""You could say that,"" I replied.","Remus furrowed his brow, slight amusement quirking up the corners of his mouth. ""Care to elaborate?"" "
"Remus furrowed his brow, slight amusement quirking up the corners of his mouth. ""Care to elaborate?"" ","""Right before the match officially started, Sirius punched Amos Diggory for almost saying the word 'Mudblood.'"""
"""Right before the match officially started, Sirius punched Amos Diggory for almost saying the word 'Mudblood.'""","""What? He was going to call you a slur? Can I punch him too?"""
"""You sound a bit like one too. You've yelled yourself half-hoarse, Lucky.""","""If you make a horse joke, Remus Lupin, I will transform here and now and brand your forehead with a horseshoe."""
"""If you make a horse joke, Remus Lupin, I will transform here and now and brand your forehead with a horseshoe.""","Remus chuckled. ""My sweet, innocent self would never. Alright, I think you're covered, if you want to head down to the party."""
"The door closed before I could say ""butterbeer,"" and just like that, Sirius and I were alone.","""Merlin, did you trip and fall face-first into a fire on your way back up to the castle?"" Sirius asked, taking in the sight of my orange-coated upper body."
"""Do you trust me?""","""Of course, but why — """
"""Of course, but why — ""","""I just need a minute to change."""
"""I just need a minute to change.""","""Alright,"" I relented."
"""Okay, actually, hold out your hands, keep your eyes closed,"" Sirius said.","""What are you — """
"""What are you — ""","""Please?"""
"Sirius blinked. ""What? No. I've always wanted to take you. It's been our plan all along.""","""Our plan? Who else knew you were planning to ask me?"""
"I giggled. ""You're ridiculous. Okay, now I'm morbidly curious, tell me more about the grand plan.""","""Well, if you hadn't said yes to me, the other lads were going to try their luck with you — """
"""Well, if you hadn't said yes to me, the other lads were going to try their luck with you — ""","""Alright, stop with the bullshit — """
"""Alright, stop with the bullshit — ""","""I'm serious — """
"""I'm serious — ""","""Well, yes, and I'm Cass — """
"""Well, yes, and I'm Cass — ""","Sirius tossed his head back and laughed. ""Fuck you. Well, fine, don't believe me. Anyway, since you said yes to me, James is going to ask Marlene, Remus is going to ask Mary, and Peter is going to ask Evans. We thought that was the best way to secure a 'yes' from each girl."""
"I snorted, grinning as something like relief swept over me. ""I understand. I just wanted to make sure we were... on the same page, so to speak.""","""I think we are. Just to be clear, though, you do not want me to kiss you?"""
"""I think we are. Just to be clear, though, you do not want me to kiss you?""","""Do you want to kiss me?"""
"""Do you want to kiss me?""","Sirius half-shrugged. ""I wouldn't be violently opposed to the idea."""
"Sirius half-shrugged. ""I wouldn't be violently opposed to the idea.""","""But you'd be non-violently opposed?"" I teased."
"""But you'd be non-violently opposed?"" I teased.","""I wouldn't be opposed,"" he replied."
"Sirius shook his head. ""I've never been kissed either.""","""Really? But I've seen you interact with girls, you're always so..."""
"""Really? But I've seen you interact with girls, you're always so...""","""It's all talk,"" Sirius replied with a shrug. "
"""It's all talk,"" Sirius replied with a shrug. ","""Oh."""
"""I'm afraid I still don't know what all of the fuss is about,"" I confessed, a breathless giggle punching out of me.","Sirius shook his head as a grin toyed with the corners of his mouth. ""No, me neither, not really. I thought it was supposed to be more..."""
"""Well, I'm just going to be wearing dress robes, boring as that is. I heard Keira's making your dress?""","I nodded. ""She's been offering to make me a fancy dress for years, and I've always come up with excuses to avoid it. The second the Spring Ball was announced, I was out of excuses. Carter said she started that night."""
"I nodded. ""She's been offering to make me a fancy dress for years, and I've always come up with excuses to avoid it. The second the Spring Ball was announced, I was out of excuses. Carter said she started that night.""","""Oh, perfect! I'll just ask her to make me a tie from whatever fabric is left over once she's finished your dress. She wouldn't let me see it, though. What color is it?"""
"""We could always wear our matching overalls if she doesn't finish your dress in time,"" Sirius said.","I snatched his pillow off of the bed and smacked him upside the head with it. ""Hell no. These are for Quidditch matches only."""
"I snatched his pillow off of the bed and smacked him upside the head with it. ""Hell no. These are for Quidditch matches only.""","""If you insist,"" he replied, laughing. "
"""If you insist,"" he replied, laughing. ","""I do. I do insist."""
"""I do. I do insist.""","""I'll have to ask Keira to make these for Remus and Peter, for next year, once you're back on the team,"" Sirius said."
"""I'll have to ask Keira to make these for Remus and Peter, for next year, once you're back on the team,"" Sirius said.","I busied myself with another bite of cake to buy myself a couple seconds of time before I had to speak again. ""You really think I'll be good enough to join again?"""
"I busied myself with another bite of cake to buy myself a couple seconds of time before I had to speak again. ""You really think I'll be good enough to join again?""","""Of course, what kind of a question is that? You never should have been denied a spot on the team in the first place. I don't trust that Rakepick bitch."""
"""Of course, what kind of a question is that? You never should have been denied a spot on the team in the first place. I don't trust that Rakepick bitch.""","""Why not? Everyone else does, now. She's won our whole house over at this point, except for the two of us."""
"""Why not? Everyone else does, now. She's won our whole house over at this point, except for the two of us.""","""Yes, well, the Black family isn't known for being forgiving, and that's one particular quality I'm not ashamed of sharing with my family,"" Sirius said."
"""I think that's more than fair. Pat just wanted her friend on the team and used flawed logic to justify it and just stood by doing nothing when you were bullied, for years. Sometimes I wonder if she's a blood supremacist in disguise, but that's a whole other conversation. And your parents, you know, killed your brother, and tried to kill you. Even if I was good and forgiving like you, I wouldn't forgive those people.""","""That's fair, I suppose. I still want to forgive Pat one day, I don't want to be angry with her because of something as silly as the Gryffindor Quidditch team for the rest of my life, but I'm still so bitter sometimes."""
"""We didn't win the Quidditch Cup two years ago,"" I replied with a sigh.","""No, but you got so close, Cass. You have three more years of Quidditch ahead of you. Surely there's at least one Cup in your — our — future."""
"""No, but you got so close, Cass. You have three more years of Quidditch ahead of you. Surely there's at least one Cup in your — our — future.""","I nodded. ""I hope so."""
"I nodded. ""I hope so.""","""I know so."""
"""I know so.""","""Can I say something mean?"" I asked."
"""Can I say something mean?"" I asked.","Sirius grinned. ""Yes, always. It's always a delight when you're mean, since it happens so rarely. It's always justified, and always rather humorous. Please, be mean, I beg of you."""
"""Oh, he told me off once when he saw me setting up a prank.""","""Is he a prefect?"""
"""Is he a prefect?""","""Nope."""
"Sirius grinned. ""Of course. I do feel compelled to warn you, though, that there will be a celebratory pyrotechnics display in the Great Hall tomorrow in honor of us going to the Spring Ball together. So, technically, I'm not surprising you with a massive display of pyrotechnics. This was only the first part, designed to give me a chance to warn you about the second part.""","""Please tell me you're joking."""
"""Please tell me you're joking.""","""No, I'm Sirius,"" he replied, grin widening. "
"""No, I'm Sirius,"" he replied, grin widening. ","""What would you have done if I'd said no? Would you have tried asking me again, with fireworks?"""
